name	Clade	Taxonomy
AALE_DECH	Dechloromonas	Dechloromonas
AVED_ZOO	Zoogloea	Zoogloea
BJER11_SULF	Sulfuritalea	Sulfuritalea
BJER14_SULF	Sulfuritalea	Sulfuritalea
POS_THAU	Thauera	Thauera
POS_ZOO2	Zoogloea	Zoogloea
DELFT	IC	Accumulibacter
EGA_PROP	Propionivibrio	Propionivibrio
ESB131_PROP	Propionivibrio	Propionivibrio
ESBW275_DECH	Dechloromonas	Dechloromonas
ESBW285_ACC	IID	Accumulibacter
ESBW463_DECH	Dechloromonas	Dechloromonas
ESBW44_PROP	Propionivibrio	Propionivibrio
FRED720_ACC	IIG	Accumulibacter
FRED880_SULF	Sulfuritalea	Sulfuritalea
FRED27_ACC	IIB	Accumulibacter
GCA_000024165_ACC	IIA	Accumulibacter
GCA_000584955_ACC	IIC	Accumulibacter
GCA_000584975_ACC	IIC	Accumulibacter
GCA_000585015_ACC	IIF	Accumulibacter
GCA_000585055_ACC	IB	Accumulibacter
GCA_000585075_ACC	IA	Accumulibacter
GCA_000987395_ACC	IIC	Accumulibacter
GCA_000987445_ACC	IB	Accumulibacter
GCA_001897745_ACC	unknown	Accumulibacter
GCA_003332265_ACC	IC	Accumulibacter
GCA_005524045_ACC	IIF	Accumulibacter
GCA_005889575_ACC	IIC	Accumulibacter
GCA_009467855_ACC	IA	Accumulibacter
GCA_012939955_ACC	IC	Accumulibacter
GCA_012940005_ACC	IIC	Accumulibacter
GCA_013347225_ACC	IIF	Accumulibacter
GCA_013414765_ACC	IIC	Accumulibacter
GCA_013823155_ACC	unknown	Accumulibacter
GCA_900089955_ACC	unknown	Accumulibacter
HADE364_DECH	Dechloromonas	Dechloromonas
HADE726_ACC	IIB	Accumulibacter
HIRT59_SULF	Sulfuritalea	Sulfuritalea
ODNE305_DECH	Dechloromonas	Dechloromonas
ODNE3415_ACC	IIB	Accumulibacter
POS_DECH	Dechloromonas	Dechloromonas
POS_SULF	Sulfuritalea	Sulfuritalea
POS_ZOO1	Zoogloea	Zoogloea
RIBE_DECH	Dechloromonas	Dechloromonas
UW10	IIB	Accumulibacter
UW11	IIC	Accumulibacter
UW12	IID	Accumulibacter
UW13	IIF	Accumulibacter
UW3	IA	Accumulibacter
UW4	IA	Accumulibacter
UW5	IIA	Accumulibacter
UW6	IIC	Accumulibacter
UW7	IIF	Accumulibacter
UW8	IA	Accumulibacter
UW9	IIA	Accumulibacter
VIBO_ZOO	Zoogloea	Zoogloea
