genome,Bioproject,group_name,full_name,code,completion,contamination,size_bp,contigs,clade,Name,Reference
GCA_000585055.1,PRJNA236438,Accumulibacter,Candidatus Accumulibacter sp BA-92,BA-92,93.33,1.49,4947936,583,IB,C. Acc sp. BA-92,Skennerton et al. 2015 Env. Micro
GCA_000987445.1,PRJNA238420,Accumulibacter,Candidatus Accumulibacter phosphatis HKU1,HKU1,90.06,2.54,3625256,824,IB,C. Acc sp. HKU1,Mao et al. 2017 Env. Sci. Tech.
GCA_003332265.1,PRJNA322674,Accumulibacter,Candidatus Accumulibacter phosphatis UW-LDO,UW-LDO,95.24,0.7,4701482,187,IC,C. Acc sp. UW-LDO,Camejo et al. 2019 mSystems
Delftensis,NA,Accumulibacter,Candidatus Accumulibacter delftensis,DELFT,100,0.187,5278942,361,IC,C. Acc delftensis,Rubio-Rincon et al. 2019 Water Research
GCA_012939955.1,PRJNA528323,Accumulibacter,Candidatus Accumulibacter phosphatis SBR_S,SBR_S,97.33,0.5,5044133,149,IC,C. Acc sp. SBR_S,Cornell
GCA_000585075.1,PRJNA236439,Accumulibacter,Candidatus Accumulibacter sp BA-93,BA-93,100,0.03,4626262,168,IA,C. Acc Sp. BA-93,Skennerton et al. 2015 Env. Micro
GCA_009467855.1,PRJNA386410,Accumulibacter,Candidatus Accumulibacter phosphatis CANDO_1,CANDO_1,91.43,0.28,3587117,437,IA,C. Acc sp. CANDO_1,Gao et al. 2019 Water Res.
UW3,IMG,Accumulibacter,Candidatus Accumulibacter UW3,UW3,99.94,0.03,4329894,110,IA,C. Acc phosphatis,Flowers et al. 2013 ISMEJ
UW4,PRJNA668760,Accumulibacter,Candidatus Accumulibacter UW4,UW4,92.9,3.37,4288117,358,IA,C. Acc sp. UW4,McDaniel and Moya et al. 2021
UW8-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW8-POB,UW8-POB,100,0,4262696,49,IA,C. Acc sp. UW8-POB,McDaniel et al. 2021
GCA_900089955.1,PRJEB13978,Accumulibacter,Candidatus Accumulibacter aalborgensis,AALB,99.52,0.06,4707069,181,unknown,C. Acc aalborgensis,Albertsen et al. 2016 Frontiers Micro.
GCA_000024165.1,PRJNA29435,Accumulibacter,Candidatus Accumulibacter phosphatis UW1,UW1,99.84,0.24,5306133,4,IIA,C. Acc regalis,Garcia-Martin et al. 2006 Nat. Biotech.
UW5,PRJNA668760,Accumulibacter,Candidatus Accumulibacter UW5,UW5,98.99,5.24,4882959,68,IIA,C. Acc sp. UW5,McDaniel and Moya et al. 2021
UW9-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW9-POB,UW9-POB,100,0,4931494,126,IIA,C Acc sp. UW9-POB,McDaniel et al. 2021
Hade_18-Q3-R52-61_BATAC.726,PRJNA629478,Accumulibacter,Candidatus Accumulibacter,Hade_18-Q3-R52-61_BATAC.726,90.17,2.33,4391132,84,IIB,C Acc sp. Hade,Singleton et al. 2021 Nature Comms
OdNE_18-Q3-R46-58_BAT3C.415,PRJNA629478,Accumulibacter,Candidatus Accumulibacter,OdNE_18-Q3-R46-58_BAT3C.415,95.26,0.98,4325360,62,IIB,,Singleton et al. 2021 Nature Comms
Fred_18-Q3-R57-64_MAXAC.027,PRJNA629478,Accumulibacter,Candidatus Accumulibacter,Fred_18-Q3-R57-64_MAXAC.027,97.67,4,5655074,56,IIB,,Singleton et al. 2021 Nature Comms
UW10-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW10-POB,UW10-POB,100,0,4395533,88,IIB,,McDaniel et al. 2021
GCA_012940005.1,PRJNA528323,Accumulibacter,Candidatus Accumulibacter phosphatis SBR_L,SBR_L,96.85,0.98,5024437,167,IIC,,Cornell
GCA_000584955.2,PRJNA231877,Accumulibacter,Candidatus Accumulibacter sp SK-01,SK-01,93.73,1.19,4561076,779,IIC,,Skennerton et al. 2015 Env. Micro
GCA_005889575.1,PRJNA534415,Accumulibacter,Candidatus Accumulibacter phosphatis Bin19,BIN19,98.51,1.94,4887416,247,IIC,,Kotlyarov et al. 2020 Microbiology
GCA_000987395.1,PRJNA245054,Accumulibacter,Candidatus Accumulibacter phosphatis HKU2,HKU2,92.29,2.86,4262673,370,IIC,,Mao et al. 2017 Env. Sci. Tech.
GCA_000584975.2,PRJNA236434,Accumulibacter,Candidatus Accumulibacter sp SK-02,SK-02,97.62,1.59,4359420,165,IIC,,Skennerton et al. 2015 Env. Micro
GCA_013414765.1,PRJNA509764,Accumulibacter,Candidatus Accumulibacter phosphatis SSA1,SSA1,99.05,1.11,5169514,3,IIC,,Arumugam et al. 2019 Microbiome
UW11-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW11-POB,UW11-POB,100,0,4627111,144,IIC,,McDaniel et al. 2021
UW6,PRJNA668760,Accumulibacter,Candidatus Accumulibacter UW6,UW6,98.57,2.46,5179050,1,IIC,,McDaniel and Moya et al. 2021
Fred_18-Q3-R57-64_BAT3C.720,PRJNA629478,Accumulibacter,Candidatus Accumulibacter,Fred_18-Q3-R57-64_BAT3C.720,93.81,0.98,5041483,13,IIG,,Singleton et al. 2021 Nature Comms
EsbW_18-Q3-R4-48_BATAC.285,PRJNA629478,Accumulibacter,Candidatus Accumulibacter,EsbW_18-Q3-R4-48_BATAC.285,96.67,3.39,5402764,40,IID,,Singleton et al. 2021 Nature Comms
UW12-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW12-POB,UW12-POB,98.1,0.74,4564354,91,IID,,McDaniel et al. 2021
GCA_002345025.1,PRJNA348753,Candidatus Accumulibacter phosphatis UBA2327,UBA2327,UBA2327,92.43,0.29,4431027,325,IIF,,Parks et al. 2017 Nat Micro.
GCA_000585015.1,PRJNA236436,Accumulibacter,Candidatus Accumulibacter sp SK-12,SK-12,92.6,0.05,4412715,331,IIF,,Skennerton et al. 2015 Env. Micro
GCA_005524045.1,PRJNA532338,Accumulibacter,Candidatus Accumulibacter sp SCELSE-1,SCELSE-1,95.24,0.6,4456818,253,IIF,,Qiu et al. 2020 Env. Sci. Tech.
GCA_013347225.1,PRJNA611629,Accumulibacter,Candidatus Accumulibacter phosphatis SSB1,SSB1,99.05,0.03,5039009,1,IIF,,SCELSE
UW13-POB,PRJNA704939,Accumulibacter,Candidatus Accumulibacter UW13-POB,UW13-POB,97.14,4.39,5447020,245,IIF,,McDaniel et al. 2021
UW7,PRJNA668760,Accumulibacter,Candidatus Accumulibacter UW7,UW7,98.97,3.04,4870756,102,IIF,,McDaniel and Moya et al. 2021
