Accession,Bioproject,name,code,completion,contamination,size_Mbp,contigs,GC_content,clade,Reference
GCA_000585075.1,PRJNA236439,Candidatus Accumulibacter sp BA-93,BA-93,100,0.03,4626262,168,63.8,IA,Skennerton et al. 2015 Env. Micro
UW8-POB,TBD,Candidatus Accumulibacter UW8-POB,UW8-POB,100,0,4262696,49,64.2,IA,McDaniel et al. 2021
UW3,IMG,Candidatus Accumulibacter UW3,UW3,99.94,0.03,4329894,110,63.9,IA,Flowers et al. 2013 ISMEJ
UW4,PRJNA668760,Candidatus Accumulibacter UW4,UW4,92.9,3.37,4288117,358,64,IA,McDaniel and Moya et al. 2021
GCA_009467855.1,PRJNA386410,Candidatus Accumulibacter phosphatis CANDO_1,CANDO_1,91.43,0.28,3587117,437,64.1,IA,Gao et al. 2019 Water Res.
GCA_000585055.1,PRJNA236438,Candidatus Accumulibacter sp BA-92,BA-92,93.33,1.49,4947936,583,62.9,IB,Skennerton et al. 2015 Env. Micro
GCA_000987445.1,PRJNA238420,Candidatus Accumulibacter phosphatis HKU1,HKU1,90.06,2.54,3625256,824,63.9,IB,Mao et al. 2017 Env. Sci. Tech.
Delftensis,NA,Candidatus Accumulibacter delftensis,DELFT,100,0.187,5278942,361,62.19,IC,Rubio-Rincon et al. 2019 Water Research
GCA_012939955.1,PRJNA528323,Candidatus Accumulibacter phosphatis SBR_S,SBR_S,97.33,0.5,5044133,149,62.3,IC,Cornell
GCA_003332265.1,PRJNA322674,Candidatus Accumulibacter phosphatis UW-LDO,UW-LDO,95.24,0.7,4701482,187,62.5,IC,Camejo et al. 2019 mSystems
GCA_014879755.1,PRJNA576469 ,Candidatus Accumulibacter Acc IF,AccIF,96.5,4.3,4400000,412,70,IF,Wang 2020 et al.bioRxiv
UW9-POB,TBD,Candidatus Accumulibacter UW9-POB,UW9-POB,100,0,4931494,126,64.1,IIA,McDaniel et al. 2021
GCA_000024165.1,PRJNA29435,Candidatus Accumulibacter phosphatis UW1,UW1,99.84,0.24,5306133,4,64,IIA,Garcia-Martin et al. 2006 Nat. Biotech.
UW5,PRJNA668760,Candidatus Accumulibacter UW5,UW5,98.99,5.24,4882959,68,64.3,IIA,McDaniel and Moya et al. 2021
UW10-POB,TBD,Candidatus Accumulibacter UW10-POB,UW10-POB,100,0,4395533,88,62.5,IIB,McDaniel et al. 2021
Fred_18-Q3-R57-64_MAXAC.027,NA,Candidatus Accumulibacter,Fred_18-Q3-R57-64_MAXAC.027,97.67,4,5655074,56,62,IIB,Singleton et al. 2020 Nature Comms.
OdNE_18-Q3-R46-58_BAT3C.415,NA,Candidatus Accumulibacter,OdNE_18-Q3-R46-58_BAT3C.415,95.26,0.98,4325360,62,63,IIB,Singleton et al. 2020 Nature Comms.
